Gene_id	Max_aMAFC	Max_Time	PassMaxtime	On_trans	Off_trans	12B-10G_MaxVal	12B-3D7B_MaxVal	10G-3D7B_MaxVal	12B-10G_MaxTime	12B-3D7B_MaxTime	10G-3D7B_MaxTime	A7-B11_MaxVal	A7-E5_MaxVal	A7-B11_MaxTime	A7-E5_MaxTime	E5-B11_MaxVal	E5-B11_MaxTime	Is_3D7B	Is_tRNA.x	Is_tRNA.y
PF3D7_1126600	0.12232195294106656	Left	FALSE	12B	10G	0.122321952941067	0.121337265904096	-0.0795882904804223	Left	Left	Mid	0.0443493557109214	-0.0451831956082294	Sides	Right	0.0806908857231174	Right	FALSE	FALSE	FALSE
PF3D7_0218400	0.1223026887895147	Sides	FALSE	E5	B11	-0.0844662951695851	-0.0305664588583925	0.081879586344689	Left	Mid	Left	0.0766112660290468	-0.0859405156429441	Right	Sides	0.122302688789515	Sides	FALSE	FALSE	FALSE
PF3D7_1232400	0.12141181362869992	Left	FALSE	12B	B11	0.110170604281524	0.1214118136287	0.0251264833997866	Left	Left	Mid	-0.090881890460372	-0.117914996676624	Right	Sides	0.094213000099309	Left	TRUE	FALSE	FALSE
PF3D7_1223500	-0.12133744265931838	Mid	FALSE	E5	A7	0.0436608236677999	0.0727292906601371	0.052195923075569	Left	Mid	Mid	0.0485850029596538	-0.121337442659318	Left	Mid	0.112106350903169	Mid	FALSE	FALSE	FALSE
PF3D7_0906500	-0.12131804012588152	Right	FALSE	E5	10G	0.0634513635126813	-0.105242088300319	-0.121318040125882	Mid	Right	Right	-0.103326046955734	-0.098438840916329	Left	Right	-0.103861174851656	Left	TRUE	FALSE	FALSE
PF3D7_1250200	-0.1213050334270148	Mid	FALSE	E5	12B	0.0842005462576519	-0.121305033427015	-0.11012510976483	Right	Mid	Right	-0.117960382473895	-0.0291634768433179	Sides	Left	-0.119593291893894	Sides	TRUE	FALSE	FALSE
PF3D7_0917700	-0.121270374460526	Left	FALSE	B11	A7	-0.0874461114424663	-0.0302371208826223	0.0741074706007852	Left	Mid	Sides	-0.121270374460526	-0.0488200585010752	Left	Mid	-0.0919594022796169	Left	FALSE	FALSE	FALSE
PF3D7_0218200	-0.12106972263684858	Mid	FALSE	E5	A7	0.0398662860208631	0.07429172753436	0.0593538510232	Sides	Sides	Left	0.0424305289830305	-0.121069722636849	Right	Mid	0.112662131624052	Mid	FALSE	FALSE	FALSE
PF3D7_0523200	-0.12083782109625352	Right	FALSE	B11	A7	0.0959198989243112	0.0930075450254001	0.0924286322454369	Sides	Mid	Mid	-0.120837821096254	-0.0734934874266841	Right	Right	0.0791149395576002	Left	FALSE	FALSE	FALSE
PF3D7_1437900	-0.12071246102692704	Mid	FALSE	E5	A7	0.0964181518073038	-0.0882935454184964	-0.0895954035776814	Left	Right	Right	-0.0576823974108872	-0.120712461026927	Mid	Mid	0.0841328448774343	Right	FALSE	FALSE	FALSE
PF3D7_1366600	-0.1206663359655934	Right	FALSE	A7	12B	-0.0924615880278526	-0.120666335965593	-0.0574284376100082	Mid	Right	Right	-0.0571689497535787	0.0513938787477524	Mid	Right	-0.0504902645515628	Mid	TRUE	FALSE	FALSE
PF3D7_1449700	0.12029104666890388	Left	FALSE	12B	10G	0.120291046668904	0.0973094667740518	-0.0857623319556074	Left	Left	Sides	0.0607126798719273	0.0578591781706212	Sides	Left	0.032109864101269	Sides	FALSE	FALSE	FALSE
PF3D7_0103900	-0.12022101449806676	Left	FALSE	B11	10G	0.0959837673122	-0.0478275830349851	-0.120221014498067	Left	Right	Left	0.0529117486958358	0.0971682406691697	Right	Mid	-0.105623110237999	Mid	TRUE	FALSE	FALSE
PF3D7_0810800	0.1197615988001376	Mid	FALSE	A7	E5	-0.090157833160089	-0.0581588670699626	0.0868420003784223	Left	Mid	Sides	0.0710230126199529	0.119761598800138	Left	Mid	-0.0732843706175291	Right	FALSE	FALSE	FALSE
PF3D7_1137600	-0.11940582294950616	Left	FALSE	B11	A7	-0.472124786302812	-0.241351429732207	0.424564058292686	Right	Sides	Mid	-0.119405822949506	-0.309676320743522	Left	Mid	0.234707026272631	Mid	FALSE	FALSE	FALSE
PF3D7_1310400	0.11925579848611852	Left	FALSE	12B	B11	-0.0670959333568891	0.119255798486119	0.109839275092163	Mid	Left	Left	0.115852383719079	0.0830634371944531	Right	Sides	0.101664481408346	Right	TRUE	FALSE	FALSE
PF3D7_1422800	0.11908365856210372	Mid	FALSE	12B	10G	0.119083658562104	0.0941566082449408	-0.109501806991622	Mid	Sides	Mid	-0.108369007964886	-0.0844982201841791	Right	Right	-0.100597120613047	Mid	FALSE	FALSE	FALSE
PF3D7_1357500	-0.11903950845468868	Right	FALSE	B11	A7	0.0920226564015141	0.073339765887803	-0.0887011641809734	Left	Sides	Mid	-0.119039508454689	-0.101812321706348	Right	Right	-0.0172271867483405	Right	FALSE	FALSE	FALSE
PF3D7_0713900	0.1187830430620296	Left	FALSE	10G	E5	-0.079928660706963	0.109404374653955	0.11878304306203	Right	Left	Left	-0.0326585669856526	-0.0641071297231813	Mid	Mid	0.0314485627375287	Mid	TRUE	FALSE	FALSE
PF3D7_1104200	-0.11847777415074826	Mid	FALSE	A7	10G	0.0938779391639037	-0.0835990923167704	-0.118477774150748	Mid	Right	Mid	-0.0314916249690382	-0.05805291665629	Sides	Sides	-0.0366787869204397	Mid	TRUE	FALSE	FALSE
PF3D7_0619000	-0.1183529919302469	Mid	FALSE	E5	A7	-0.0394070934306518	0.0780353681070326	0.0833430920403534	Mid	Sides	Left	-0.0282004366037228	-0.118352991930247	Mid	Mid	0.0901525553265241	Mid	FALSE	FALSE	FALSE
PF3D7_0706000	0.118294646189874	Mid	FALSE	12B	10G	0.118294646189874	-0.104263464266645	-0.106465423926533	Mid	Sides	Right	-0.112739099336177	-0.0648112111493943	Left	Right	-0.0776212167737994	Left	FALSE	FALSE	FALSE
PF3D7_1470600	-0.1182406625963408	Right	FALSE	10G	12B	-0.118240662596341	-0.11234167930223	-0.0758496768920888	Right	Right	Sides	0.0657039551968467	-0.0538599076867133	Right	Mid	0.109952943634721	Mid	FALSE	FALSE	FALSE
PF3D7_0935000	-0.11816971861736308	Mid	FALSE	B11	12B	-0.0764593542690371	-0.118169718617363	-0.0735235186665335	Left	Mid	Mid	-0.111281310431475	0.0912784290070374	Right	Left	-0.102921280295116	Left	TRUE	FALSE	FALSE
PF3D7_1446500	0.11781612179488064	Mid	FALSE	E5	B11	0.037767183721363	-0.0564731108941481	-0.0562598642291408	Mid	Right	Mid	0.0498195261287481	-0.111031315842825	Sides	Mid	0.117816121794881	Mid	FALSE	FALSE	FALSE
PF3D7_1218200	-0.11769693794149284	Sides	FALSE	B11	E5	-0.0934589192797104	-0.0436735761398326	0.0767225518261792	Sides	Mid	Sides	-0.0969246071363378	-0.0919321874868222	Right	Mid	-0.117696937941493	Sides	FALSE	FALSE	FALSE
PF3D7_1012700	0.11753582804059706	Sides	FALSE	10G	E5	-0.0935979902561067	0.0724792317704548	0.117535828040597	Sides	Right	Sides	-0.0783088832063215	-0.061253332545558	Left	Mid	-0.0877225605560015	Left	TRUE	FALSE	FALSE
PF3D7_0724700	-0.1166499291269513	Mid	FALSE	E5	A7	0.0883017572270667	0.0762086334968444	-0.0927382174490658	Mid	Left	Right	-0.0679099658896988	-0.116649929126951	Left	Mid	0.100182167891657	Right	FALSE	FALSE	FALSE
PF3D7_1442100	0.11654650660238076	Sides	FALSE	E5	B11	NA	NA	NA	NA	NA	NA	-0.102391453263353	-0.105204390266783	Left	Sides	0.116546506602381	Sides	FALSE	FALSE	FALSE
PF3D7_0311100	0.11640851217134088	Left	FALSE	A7	B11	-0.0463467410800297	0.0348743453824222	0.0459228237391556	Left	Right	Mid	0.116408512171341	0.0316057408059849	Left	Mid	0.110009188063489	Left	FALSE	FALSE	FALSE
PF3D7_1009800	-0.11631971124276944	Sides	FALSE	B11	A7	0.104552134270039	0.0340917904185261	-0.0767013573829926	Right	Mid	Right	-0.116319711242769	-0.0723595460786044	Sides	Sides	-0.0809781142508326	Left	FALSE	FALSE	FALSE
PF3D7_0531000	-0.11545729354273072	Right	FALSE	B11	A7	-0.0839541472588889	-0.0850755974347927	0.0627588569351037	Right	Right	Sides	-0.115457293542731	-0.0920542834585888	Right	Sides	-0.0520996155972606	Right	FALSE	FALSE	FALSE
PF3D7_0817500	-0.11495819063962744	Right	FALSE	B11	E5	-0.00701819959245169	-0.0486728195767925	-0.0416546199843408	Left	Left	Left	-0.0974393010796593	0.110860171211695	Sides	Mid	-0.114958190639627	Right	FALSE	FALSE	FALSE
PF3D7_0115300	-0.11482905521915558	Left	FALSE	NA	12B	-0.100700436837119	-0.114829055219156	-0.0141286183820371	Left	Left	Left	0.230213697000219	0.209775295408282	Left	Left	-0.0538791928485816	Right	FALSE	FALSE	FALSE
PF3D7_0615600	-0.11480231750588347	Sides	FALSE	B11	A7	-0.0607334294342815	-0.0597025704800518	-0.113139028263522	Left	Right	Right	-0.114802317505883	-0.10159787070216	Sides	Sides	0.0335015307371756	Right	FALSE	FALSE	FALSE
