Old_id	Gene_id
MAL12P1.111	PF3D7_1211200
PFL0555c	PF3D7_1211200
MAL5P1.183	PF3D7_0518300
PFE0915c	PF3D7_0518300
PF10_0225	PF3D7_1023200
2277.t00214	PF3D7_1222300
MAL12P1.214	PF3D7_1222300
PFL1070c	PF3D7_1222300
MAL5P1.184	PF3D7_0518400
PFE0920c	PF3D7_0518400
PF10_0091	PF3D7_1009400
2270.t00188	PF3D7_0630000
MAL6P1.128	PF3D7_0630000
PFF1455c	PF3D7_0630000
MAL13P1.111	PF3D7_1320100
PF11_0013	PF3D7_1100700
PF13_0012	PF3D7_1302200
2277.t00205	PF3D7_1221300
MAL12P1.205	PF3D7_1221300
PFL1025c	PF3D7_1221300
2270.t00056	PF3D7_0616800
MAL6P1.258	PF3D7_0616800
PFF0815w	PF3D7_0616800
PF14_0276	PF3D7_1429700
PF14_0396	PF3D7_1441700
MAL4P1.143	PF3D7_0415300
PFD0740w	PF3D7_0415300
PF08_0113	PF3D7_0806800
PF11_0200	PF3D7_1119300
PF02_0217	PF3D7_0222900
PF02_0218	PF3D7_0222900
PF3D7_0223000	PF3D7_0222900
PFB1025w	PF3D7_0222900
PFB1030w	PF3D7_0222900
MAL1P1.48	PF3D7_0105800
PFA0285c	PF3D7_0105800
MAL5P1.265	PF3D7_0526600
PFE1325w	PF3D7_0526600
1396.t00553	PF3D7_1423800
PF14_0229	PF3D7_1423800
PF08_0037	PF3D7_0822100
PFI1185c	PF3D7_0924100
PFI0900w	PF3D7_0918400
PF14_0389	PF3D7_1441000
PF10_0148	PF3D7_1015100
MAL3P7.30	PF3D7_0322400
PFC1000w	PF3D7_0322400
MAL5P1.76	PF3D7_0507500
PFE0370c	PF3D7_0507500
MAL5P1.212	PF3D7_0521100
PFE1060c	PF3D7_0521100
2277.t00523	PF3D7_1254400
MAL12P1.520	PF3D7_1254400
PFL2625w	PF3D7_1254400
PF11_0087	PF3D7_1107400
PF08_0095	PF3D7_0810800
2255.m00020	PF3D7_0830900
PF08_0001	PF3D7_0830900
PFH0015w	PF3D7_0830900
PF14_0360	PF3D7_1438000
PFI1800w	PF3D7_0937200
MAL7P1.226	PF3D7_0832100
PF14_0685	PF3D7_1471800
PF14_0515	PF3D7_1454200
PF13_0255	PF3D7_1348600
2277.t00037	PF3D7_1203700
MAL12P1.37	PF3D7_1203700
PFL0185c	PF3D7_1203700
2277.t00454	PF3D7_1247300
MAL12P1.453	PF3D7_1247300
PFL2270w	PF3D7_1247300
PF11_0139	PF3D7_1113100
PFI1415w	PF3D7_0928800
PFF0065c	PF3D7_0601300
PF10_0323	PF3D7_1033200
PF07_0008	PF3D7_0702500
PF13_0330	PF3D7_1362200
PF11_0141	PF3D7_1113300
PF11_0396	PF3D7_1138500
PF14_0211	PF3D7_1421900
PF14_0205	PF3D7_1421200
PF14_0416	PF3D7_1443800
MAL1P4.02	PF3D7_0100200
PFA0010c	PF3D7_0100200
MAL4P1.59	PF3D7_0406000
PFD0300w	PF3D7_0406000
PF14_0080	PF3D7_1408300
MAL8P1.80	PF3D7_0816300
MAL8P1.80:exon:10	PF3D7_0816300
MAL13P1.264	PF3D7_1352200
PF11_0229	PF3D7_1122100
PF13_0117	PF3D7_1320200
MAL5P1.83	PF3D7_0508200
PFE0405c	PF3D7_0508200
PF11_0224	PF3D7_1121600
2277.t00303	PF3D7_1231400
MAL12P1.303	PF3D7_1231400
PFL1515c	PF3D7_1231400
2277.t00160	PF3D7_1216500
MAL12P1.159	PF3D7_1216500
PFL0795c	PF3D7_1216500
MAL5P1.312	PF3D7_0532100
PFE1590w	PF3D7_0532100
PF14_0124	PF3D7_1412500
MAL13P1.121	PF3D7_1322000
PF10_0033	PF3D7_1002900
PF10_0016	PF3D7_1001200
PF13_0043	PF3D7_1308100
MAL8P1.134	PF3D7_0806300
2277.t00473	PF3D7_1249300
MAL12P1.471	PF3D7_1249300
PFL2365w	PF3D7_1249300
PF10_0265	PF3D7_1027000
PF08_0065	PF3D7_0816000
PFC0830w	PF3D7_0318700
PFI0515w	PF3D7_0910600
MAL1P1.36	PF3D7_0104500
PFA0230c	PF3D7_0104500
2277.t00476	PF3D7_1249600
MAL12P1.474	PF3D7_1249600
PFL2380c	PF3D7_1249600
PF07_0115	PF3D7_0727800
MAL5P1.47	PF3D7_0504700
PFE0230w	PF3D7_0504700
3D7Surf4.1	PF3D7_0402200
MAL4P1.20	PF3D7_0402200
MAL4P1.21	PF3D7_0402200
PFD0100c	PF3D7_0402200
PFD0105c	PF3D7_0402200
MAL3P2.16	PF3D7_0305200
PFC0235w	PF3D7_0305200
2270.t00245	PF3D7_0607100
MAL6P1.74	PF3D7_0607100
PFF0350w	PF3D7_0607100
MAL13P1.190	PF3D7_1338100
MAL5P1.28	PF3D7_0502800
PFE0135w	PF3D7_0502800
MAL7P1.340	PF3D7_0705900
PF14_0069	PF3D7_1407200
MAL5P1.248	PF3D7_0524900
PFE1240w	PF3D7_0524900
2277.t00159	PF3D7_1216400
MAL12P1.158	PF3D7_1216400
PFL0790w	PF3D7_1216400
PF11_0333	PF3D7_1132400
MAL3P3.9	PF3D7_0308700
PFC0370w	PF3D7_0308700
2277.t00396	PF3D7_1241200
MAL12P1.394	PF3D7_1241200
PFL1980c	PF3D7_1241200
2270.t00203	PF3D7_0611100
MAL6P1.113	PF3D7_0611100
PFF0545c	PF3D7_0611100
MAL13P1.169	PF3D7_1332000
PF11_0255	PF3D7_1124400
MAL5P1.309	PF3D7_0531200
PFE1560c	PF3D7_0531200
PF3D7_0928000.1	PF3D7_0928000
PF3D7_0928000.2	PF3D7_0928000
PFI1375w	PF3D7_0928000
MAL8P1.141	PF3D7_0804300
2270.t00062	PF3D7_0617300
MAL6P1.253	PF3D7_0617300
PFF0840w	PF3D7_0617300
MAL5P1.267	PF3D7_0526800
PFE1335c	PF3D7_0526800
PF14_0433	PF3D7_1445600
MAL4P1.230	PF3D7_0424700
PFD1175w	PF3D7_0424700
PF11_0320	PF3D7_1131000
2270.t00322	PF3D7_0632700
MAL6P1.2	PF3D7_0632700
PFF1590w	PF3D7_0632700
PF14_0588	PF3D7_1461800
2277.t00089	PF3D7_1208800
MAL12P1.88	PF3D7_1208800
PFL0440c	PF3D7_1208800
PF14_0400	PF3D7_1442200
PF13_0259	PF3D7_1349400
PF10_0392	PF3D7_1039900
PF10_0179	PF3D7_1018600,PF3D7_1018500
MAL1P2.42	PF3D7_0111700
PFA0565c	PF3D7_0111700
PF07_0116	PF3D7_0727900
PF10_0031	PF3D7_1002700
PF11_0257	PF3D7_1124600
PF07_0004	PF3D7_0701900
PF3D7_14_snoR29	PF3D7_1424700
PF3D7_14_snoR29.1	PF3D7_1424700
PFI0180w	PF3D7_0903700
MAL4P1.166	PF3D7_0417600
PFD0855c	PF3D7_0417600
PF14_0179	PF3D7_1418100
2270.t00168	PF3D7_0628100
MAL6P1.147	PF3D7_0628100
PFF1365c	PF3D7_0628100
MAL13P1.45	PF3D7_1309300
PFI0035c	PF3D7_0900700
MAL7P1.32	PF3D7_0710400
PF14_0712	PF3D7_1474400
PF14_0487	PF3D7_1451200
PF14_0526	PF3D7_1455200
PF3D7_1455200.1	PF3D7_1455200
PF3D7_1455200.2	PF3D7_1455200
PF11_0405	PF3D7_1139500
PF3D7_1139500.1	PF3D7_1139500
PF3D7_1139500.2	PF3D7_1139500
MAL7P1.11	PF3D7_0703300
PF14_0113	PF3D7_1411500
2277.t00313	PF3D7_1232500
MAL12P1.312	PF3D7_1232500
PFL1565c	PF3D7_1232500
PF02_0137	PF3D7_0214600
PFB0665w	PF3D7_0214600
2277.t00168	PF3D7_1217400
MAL12P1.168	PF3D7_1217400
PFL0840c	PF3D7_1217400
2277.t00132	PF3D7_1213500
MAL12P1.131	PF3D7_1213500
PFL0655w	PF3D7_1213500
2277.t00288	PF3D7_1229900
MAL12P1.288	PF3D7_1229900
PF3D7_1229900.1	PF3D7_1229900
PF3D7_1229900.2	PF3D7_1229900
PFL1440c	PF3D7_1229900
PFI0655c	PF3D7_0913400
MAL5_tRNA_Leu2	PF3D7_0527800
MAL5_tRNA_Leu2:tRNA	PF3D7_0527800
PFA0395c	PF3D7_0107900
PFA0395w	PF3D7_0107900
PF14_0371	PF3D7_1439200
PFI1660w	PF3D7_0934300
PF02_0030	PF3D7_0203200,PF3D7_0203100
PFB0150c	PF3D7_0203200,PF3D7_0203100
PFB0151c	PF3D7_0203200
PF3D7_11_snoR11	PF3D7_1109700
PF3D7_11_snoR11.1	PF3D7_1109700
2270.t00049	PF3D7_0616100
MAL6P1.265	PF3D7_0616100
PFF0780w	PF3D7_0616100
MAL8P1.138	PF3D7_0805000
PF14_0619	PF3D7_1465200
PF10_0266	PF3D7_1027100
MAL5P1.149	PF3D7_0514900
PFE0745w	PF3D7_0514900
PF14_0084	PF3D7_1408700
PF11_0437	PF3D7_1142500
PF11_0226	PF3D7_1121800
2277.t00432	PF3D7_1245000
MAL12P1.430	PF3D7_1245000
PFL2160c	PF3D7_1245000
2277.t00036	PF3D7_1203600
MAL12P1.36	PF3D7_1203600
PFL0180w	PF3D7_1203600
PF11_0370	PF3D7_1135900
MAL6P1.98	PF3D7_0609500
MAL6P1.98a	PF3D7_0609500
MAL6P198a	PF3D7_0609500
PFF0470w	PF3D7_0609500
MAL4P1.147	PF3D7_0415700
PFD0760c	PF3D7_0415700
PF01TR001	PF3D7_0105000
PF01TR001:ncRNA	PF3D7_0105000
MAL13P1.87	PF3D7_1316800
PFI1395w	PF3D7_0928400
PF07_0072	PF3D7_0717500
MAL13P1.350	PF3D7_1369300
PF10_0313	PF3D7_1031900,PF3D7_1032000
PF10_0313a	PF3D7_1031900
MAL5P1.289	PF3D7_0529200
PFE1455w	PF3D7_0529200
PF14_0048	PF3D7_1405100
PF11_0358	PF3D7_1134700
PF14_0783	PF3D7_1442100
MAL13P1.252	PF3D7_1350000
PF11_0439	PF3D7_1142700
PF11_0122	PF3D7_1111600
PF10_0125	PF3D7_1012800
MAL4P2.31	PF3D7_0409500
PFD0465c	PF3D7_0409500
PFD0466c	PF3D7_0409500
PF02_0175	PF3D7_0218500
PFB0865w	PF3D7_0218500
MAL7P1.111	PF3D7_0720900
PF13_0044	PF3D7_1308200
PF13_0076	PF3D7_1302000
PF02_0210	PF3D7_0222200
PFB0990c	PF3D7_0222200
2277.t00402	PF3D7_1241800
MAL12P1.400	PF3D7_1241800
PFL2010c	PF3D7_1241800
PF10_0318	PF3D7_1032600
PF10_0252	PF3D7_1025600
2277.t00191	PF3D7_1219700
MAL12P1.191	PF3D7_1219700
PFL0955c	PF3D7_1219700
PF05TR005	PF3D7_0531500
PF05TR005:ncRNA	PF3D7_0531500
PF10_0380	PF3D7_1039000
MAL13P1.323	PF3D7_1364400
MAL3P7.43	PF3D7_0323700
PFC1060c	PF3D7_0323700
MAL13_tRNA_Ser1	PF3D7_1337600
MAL13_tRNA_Ser1:tRNA	PF3D7_1337600
PF02_0082	PF3D7_0208600
PFB0390w	PF3D7_0208600
PF10_0412	PF3D7_1027600
MAL7P1.58	PF3D7_0713100
PFI0385c	PF3D7_0908000
2277.t00038	PF3D7_1203900
MAL12P1.38	PF3D7_1203900
PFL0190w	PF3D7_1203900
2270.t00075	PF3D7_0618800
MAL6P1.239	PF3D7_0618800
PFF0910c	PF3D7_0618800
2277.t00525	PF3D7_1254600
MAL12P1.522	PF3D7_1254600
PFL2635w	PF3D7_1254600
PF02_0102	PF3D7_0210900
PFB0490c	PF3D7_0210900
2277.t00235	PF3D7_1224400
MAL12P1.235	PF3D7_1224400
PFL1175w	PF3D7_1224400
PF13.0362	PF3D7_1369700
PF13.0362:1:pep	PF3D7_1369700
PF13.0362:mRNA:1	PF3D7_1369700
PF13_0362	PF3D7_1369700
MAL3P2.23	PF3D7_0306200
PFC0270w	PF3D7_0306200
2277.t00383	PF3D7_1239500
MAL12P1.381	PF3D7_1239500
PFL1915w	PF3D7_1239500
PF14_0760	PF3D7_1478800
PF14_0254	PF3D7_1427500
2270.t00158	PF3D7_0627100
MAL6P1.157	PF3D7_0627100
PFF1315w	PF3D7_0627100
PF10_0090	PF3D7_1009300
PF11_0144	PF3D7_1113600
PF08_0120	PF3D7_0804900
PF11_0477	PF3D7_1146600
MAL13P1.343	PF3D7_1368100
MAL3P6.3	PF3D7_0316300
PF3D7_0316300.1	PF3D7_0316300
PF3D7_0316300.2	PF3D7_0316300
PFC0710w	PF3D7_0316300
PF14_0644	PF3D7_1467600
PF14_0308	PF3D7_1432600
PF11_0039	PF3D7_1102700
PF11_0118	PF3D7_1111200
MAL13P1.85	PF3D7_1316400
PF07_0054	PF3D7_0714000
PF08_0062	PF3D7_0816900
MAL13P1.215	PF3D7_1343100
PFI1585c	PF3D7_0932600
MAL3P2.28	PF3D7_0307100
PFC0295c	PF3D7_0307100
PFI0045c	PF3D7_0900900
MAL1P2.41	PF3D7_0111600
PFA0560c	PF3D7_0111600
PFI1190w	PF3D7_0924200
MAL4P1.51	PF3D7_0405300
PFD0255c	PF3D7_0405300
PFD0260c	PF3D7_0405300
PF14_0018	PF3D7_1401600
MAL13P1.206	PF3D7_1340900
2270.t00039	PF3D7_0614900
MAL6P1.277	PF3D7_0614900
PFF0720w	PF3D7_0614900
PF02_0092	PF3D7_0209700
PFB0440c	PF3D7_0209700
2277.t00270	PF3D7_1227900
MAL12P1.270	PF3D7_1227900
PFL1350w	PF3D7_1227900
PF10_0306	PF3D7_1031200
PF10_0297	PF3D7_1030400
MAL1P2.16	PF3D7_0108800
PFA0435w	PF3D7_0108800
PF14_0019	PF3D7_1401700
PF14_0736	PF3D7_1476600
MAL4P1.144	PF3D7_0415400
PFD0745c	PF3D7_0415400
2270.t00147	PF3D7_0626000
MAL6P1.168	PF3D7_0626000
PFF1260c	PF3D7_0626000
2277.t00511	PF3D7_1253300
MAL12P1.508	PF3D7_1253300
PFL2565w	PF3D7_1253300
MAL1P1.55	PF3D7_0106400
PFA0315w	PF3D7_0106400
2270.t00285	PF3D7_0603000
MAL6P1.33	PF3D7_0603000
PFF0145w	PF3D7_0603000
2270.t00205	PF3D7_0610900
MAL6P1.111	PF3D7_0610900
PFF0535c	PF3D7_0610900
PF11_0061	PF3D7_1105000
MAL13P1.193	PF3D7_1338600
MAL7P1.120	PF3D7_0722300
PF14_0100	PF3D7_1410200
2270.t00441	PF3D7_0606300
MAL6P1.66	PF3D7_0606300
PFF0310w	PF3D7_0606300
MAL5P1.257	PF3D7_0525800
PFE1285w	PF3D7_0525800
PF10_0259	PF3D7_1026200
MAL13P1.239	PF3D7_1347900
2277.t00007	PF3D7_1200700
MAL12P1.7	PF3D7_1200700
PFL0035c	PF3D7_1200700
MAL13P1.92	PF3D7_1317800
PF02_0005	PF3D7_0200500
