Name,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP24,TP25,TP26,TP27,TP28,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48
PF3D7_1408500,1.16,1.27971647,1.48985453,1.9582401,1.96912437,1.89487152,1.291,1.42807039,1.60858842,1.65863675,1.747,1.89471097,2.27821443,1.587,1.711397691,1.65172313,1.89176499,1.802,1.6836165,1.838,1.49836896,1.33379484,1.4651078,1.2347368,1.01230358,0.952,0.92278335,0.79785117,0.758,0.70940288,0.66313279,0.63416063,0.56748321,0.52143933,0.53027354,0.48800946,0.57955961,0.60608355,0.40716093,0.43925289,0.6167085,0.74544632,0.8083229,1.0589955,1.0020343,0.9239875
PF3D7_1408600,0.782,0.93334453,0.99603105,1.1751971,1.21167519,1.44842253,1.27,2.1290801,2.0640949,2.94731732,2.036,2.46389863,2.88763692,1.849,1.904172029,2.02668995,2.08247597,1.226,1.88430159,1.572,2.148622,1.67238791,1.53096554,1.3323002,1.42460213,1.066,1.09252889,0.81846979,0.798,0.5491666,0.82633658,0.4309989,0.51746776,0.42447747,0.37413744,0.32778123,0.31921569,0.27494913,0.31390059,0.34019289,0.4006177,0.51759791,0.4833863,0.57648782,0.6545952,0.7239607
PF3D7_1408700,0.74,0.88568939,0.94488805,1.30296335,0.94985589,0.81806702,0.932,1.14979802,1.14657478,1.44899496,1.247,1.28680295,1.42103627,0.934,1.188634258,0.7908179,0.82860622,0.871,0.67361112,0.655,0.62981655,0.59394089,0.92381188,0.7509183,0.87623686,0.997,0.98851814,1.28194061,1.573,1.33981604,0.89199328,1.21650262,1.13881384,1.08920493,1.04974518,0.85058313,0.59918354,0.74236264,0.45151645,0.4353426,0.3702679,0.44516053,0.7107272,0.88478844,0.8006203,0.8648887
PF3D7_1408900,1.074,1.12280308,1.61310086,1.64957698,1.58674646,1.65515884,1.164,1.21255737,2.18643089,1.51373728,1.628,1.76564344,2.09595725,2.223,2.480811145,1.93908082,2.16358293,2.691,2.26428746,2.597,2.07616516,1.60036671,1.89904682,1.4258651,1.0582056,1.013,0.79797047,0.60511186,0.59,0.39193946,0.43614815,0.31173395,0.33664259,0.24024995,0.2877225,0.27559259,0.3152909,0.40644654,0.25021062,0.31803473,0.518375,0.54130469,0.815212,0.98564516,1.1291768,0.8194281
PF3D7_1409000,0.755,0.69739323,0.92225102,1.80643853,1.06676125,1.34822518,1.442,1.62937394,2.26451779,2.47716478,1.91,1.53332185,2.54732852,1.764,2.032968703,1.49636302,1.93560668,1.846,1.49362367,1.956,1.38132336,1.10276588,1.64824634,1.1299761,0.93197499,1.216,0.86453738,0.80591933,0.72,0.73347594,0.5768411,0.56342415,0.52804799,0.34690798,0.37020948,0.31404737,0.32444872,0.3239618,0.22291491,0.26589788,0.4613173,0.35560162,0.8278421,0.99252173,0.896292,1.0410487
PF3D7_1409100,0.417,0.47422737,0.40411361,0.40733418,0.33488511,0.33737339,0.266,0.27708829,0.19391561,0.34683389,0.26,0.24006556,0.44852346,0.328,0.43942431,0.38664805,0.6006299,0.63,0.47621592,0.751,0.64932417,0.86425418,1.05913586,1.527427,1.57460336,1.787,1.8622084,2.03227932,2.266,2.19741865,1.67987383,1.74949374,1.56683079,1.24003448,1.30113415,0.86981049,0.68814532,0.78898449,0.52771693,0.53440261,0.4855972,0.56237734,0.574093,0.65213034,0.7452315,0.5489372
PF3D7_1409200,0.778,0.842683445,0.593594285,0.51802283,0.445092745,0.54918299,0.277,0.36589864,0.244672035,0.293652695,0.2045,0.20199064,0.3303411,0.2135,0.292107726,0.25173007,0.416495195,0.4115,0.42933455,0.7255,0.562468915,0.925518945,1.25535564,1.2883167,1.554521215,1.4175,1.477368695,1.50247031,1.6935,1.3097247,1.51385616,1.63228498,2.07083285,1.97425118,1.950228225,1.70986433,1.231727745,1.418378825,0.9303286,0.93715971,0.84554615,1.06614632,0.85654675,1.004555785,1.081341,0.86261565
PF3D7_1409300,0.833,0.64043942,0.45861026,0.5072702,0.41891083,0.37542302,0.307,0.31498071,0.26809808,0.19576847,0.147,0.17424113,0.18937657,0.119,0.153209235,0.14017452,0.15125352,0.162,0.2097324,0.287,0.30840574,0.34514045,0.60174072,0.6517555,0.91394209,0.912,1.00016739,1.37786204,1.861,1.38871438,2.33737897,2.19200777,2.55944561,2.88515398,2.87722491,2.52885966,2.76173905,2.19600676,1.57973894,1.63188306,0.9894043,1.07470707,0.789952,1.15641383,0.9353159,0.9376257
PF3D7_1409400,1.738,1.237873,0.58772539,1.00821535,0.67829453,0.58596432,0.494,0.4701028,0.65202493,0.25588633,0.21,0.17165978,0.1238779,0.072,0.106909746,0.08644096,0.08329904,0.105,0.13324176,0.141,0.18950233,0.18613266,0.31575599,0.3342746,0.32705191,0.5,0.51090082,0.71985896,0.947,1.23449643,2.67504195,2.7003233,2.5671402,3.38289167,2.86936887,2.6368993,4.63778534,3.86721916,3.03096042,3.36804001,1.8646933,1.53172099,1.5270874,0.85957425,0.9390924,1.1376526
PF3D7_1409500,1.016,1.06933626,0.75289218,0.69955216,0.57722014,0.67601508,0.327,0.41444829,0.44639631,0.50098228,0.291,0.33170347,0.50263103,0.27,0.361136053,0.26399534,0.57103687,0.489,0.82823733,1.314,1.18624739,1.42265217,1.8025157,1.7841307,2.25329763,1.589,1.59510891,1.48723049,1.706,1.30596324,0.95765004,0.92944421,0.91470601,0.6819651,0.6608779,0.62351678,0.42387657,0.63118756,0.37531594,0.47705208,0.8218732,0.88768701,1.2446336,1.14380683,1.2261072,0.9330796
